# bin	superkingdom	phylum	class	order	family	genus	species
MAG329	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG330	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG331	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG332	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG333	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG334	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG335	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG336	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG337	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. CAG
MAG338	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG339	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG340	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Z-noStdName
MAG341	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. CAG
MAG342	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus sp. CAG
MAG343	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG344	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG345	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG346	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG347	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG348	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG349	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG350	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG351	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG352	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG353	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG354	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium
MAG355	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. CAG
MAG356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. CAG
MAG357	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG358	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium	Acidiphilium sp. CAG
MAG359	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp. CAG
MAG360	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG361	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG362	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG363	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG364	Bacteria	Firmicutes	Clostridia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG365	Bacteria	Firmicutes	Clostridia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG366	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium
MAG367	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium
MAG368	Bacteria	Firmicutes	Clostridia	Candidatus Borkfalkiales	Candidatus Borkfalkiaceae*	Candidatus Borkfalkia*	Candidatus Borkfalkia ceftriaxoniphila*
MAG369	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG370	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG371	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG372	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Z-noStdName	Z-noStdName
MAG373	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG374	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
MAG375	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
MAG376	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Z-noStdName
MAG377	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Z-noStdName
MAG378	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Z-noStdName
MAG379	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	Z-noStdName
MAG380	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Z-noStdName	Desulfovibrionaceae bacterium
MAG381	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Z-noStdName	Desulfovibrionaceae bacterium
MAG382	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella massiliensis*
MAG383	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Z-noStdName
MAG384	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Ruminococcaceae bacterium D5
MAG385	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG386	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG387	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG388	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG389	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG390	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium Marseille-P2846
MAG391	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium Marseille-P2846
MAG392	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium Marseille-P2846
MAG393	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG394	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium Marseille-P2846
MAG395	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Ruminococcaceae bacterium
MAG396	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG397	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG398	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG399	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG400	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG401	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG402	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG403	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Z-noStdName
MAG404	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Z-noStdName
MAG405	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG406	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus porcorum
MAG407	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG408	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG409	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG410	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG
MAG411	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG
MAG412	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG413	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG414	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG415	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG416	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Z-noStdName
MAG417	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG418	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG419	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG420	Bacteria	Firmicutes	Clostridia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG421	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG422	Bacteria	Firmicutes	Clostridia	Z-noStdName	Z-noStdName	Z-noStdName	Clostridia bacterium
MAG423	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG424	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Z-noStdName
MAG425	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG426	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG427	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG428	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG429	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG430	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG431	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG432	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG433	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG434	Bacteria	Firmicutes	Clostridia	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG435	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG436	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG437	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG438	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG439	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG440	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG441	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG442	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG443	Bacteria	Firmicutes	Clostridia	Z-noStdName	Z-noStdName	Z-noStdName	Clostridia bacterium
MAG444	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG445	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG446	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG447	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG448	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG449	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG450	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG451	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG452	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG453	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG454	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG455	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG456	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG457	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG458	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG459	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG460	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG461	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG462	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG463	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG464	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG465	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG466	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Z-noStdName
MAG467	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Z-noStdName
MAG468	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG469	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG470	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG471	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Firmicutes bacterium CAG
MAG472	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG473	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG474	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. 57_20
MAG475	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. 57_20
MAG476	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. 57_20
MAG477	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Z-noStdName	Z-noStdName
MAG478	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Z-noStdName	Z-noStdName
MAG479	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG480	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG481	Bacteria	Firmicutes	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName	Z-noStdName
MAG482	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG483	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG484	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG485	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG486	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG487	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG488	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG489	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Clostridiales bacterium
MAG490	Bacteria	Firmicutes	Clostridia	Clostridiales	Z-noStdName	Z-noStdName	Z-noStdName
MAG491	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Z-noStdName
MAG492	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Z-noStdName
MAG493	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Z-noStdName
MAG494	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Z-noStdName
MAG495	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. APC924/74
MAG496	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Z-noStdName	Z-noStdName
MAG497	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Z-noStdName
MAG498	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Z-noStdName
